PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
370,350,1,256,0.512,256,0.512,277832809182723,277832809182907,184,2.365217391304348,1.391304347826087
370,360,1,256,0.512,256,0.512,271555053157886,271555053158069,183,2.3781420765027326,1.3989071038251366
370,370,1,256,0.512,256,0.512,267690194886395,267690194886579,184,2.365217391304348,1.391304347826087
370,380,1,256,0.512,256,0.512,274856314335997,274856314336181,184,2.365217391304348,1.391304347826087
370,390,1,256,0.512,256,0.512,270349752988083,270349752988267,184,2.365217391304348,1.391304347826087
370,400,1,256,0.512,256,0.512,281409427537394,281409427537576,182,2.3912087912087916,1.4065934065934067
370,410,1,256,0.512,256,0.512,276473400906978,276473400907161,183,2.3781420765027326,1.3989071038251366
370,420,1,256,0.512,256,0.512,136603505752631,136603505752815,184,2.365217391304348,1.391304347826087
370,430,1,256,0.512,256,0.512,201905976229380,201905976229565,185,2.352432432432433,1.3837837837837839
370,440,1,256,0.512,256,0.512,266579408575235,266579408575418,183,2.3781420765027326,1.3989071038251366
370,450,1,256,0.512,256,0.512,205595520202203,205595520202385,182,2.3912087912087916,1.4065934065934067
380,300,1,256,0.512,256,0.512,182518778426114,182518778426297,183,2.3781420765027326,1.3989071038251366
380,310,1,256,0.512,256,0.512,281154564767489,281154564767672,183,2.3781420765027326,1.3989071038251366
380,320,1,256,0.512,256,0.512,279241370234039,279241370234222,183,2.3781420765027326,1.3989071038251366
380,330,1,256,0.512,256,0.512,272342299043007,272342299043190,183,2.3781420765027326,1.3989071038251366
380,340,1,256,0.512,256,0.512,278348105642936,278348105643120,184,2.365217391304348,1.391304347826087
380,350,1,256,0.512,256,0.512,253942841867502,253942841867686,184,2.365217391304348,1.391304347826087
380,360,1,256,0.512,256,0.512,252840391456074,252840391456258,184,2.365217391304348,1.391304347826087
380,370,1,256,0.512,256,0.512,279214548185090,279214548185274,184,2.365217391304348,1.391304347826087
380,380,1,256,0.512,256,0.512,199771778692543,199771778692727,184,2.365217391304348,1.391304347826087
380,390,1,256,0.512,256,0.512,270349517321472,270349517321656,184,2.365217391304348,1.391304347826087
380,400,1,256,0.512,256,0.512,204405780902401,204405780902584,183,2.3781420765027326,1.3989071038251366
380,410,1,256,0.512,256,0.512,280309664839098,280309664839283,185,2.352432432432433,1.3837837837837839
380,420,1,256,0.512,256,0.512,252878983522302,252878983522488,186,2.339784946236559,1.3763440860215055
380,430,1,256,0.512,256,0.512,252844416819691,252844416819876,185,2.352432432432433,1.3837837837837839
380,440,1,256,0.512,256,0.512,208519414742489,208519414742671,182,2.3912087912087916,1.4065934065934067
380,450,1,256,0.512,256,0.512,279237097111280,279237097111463,183,2.3781420765027326,1.3989071038251366
390,300,1,256,0.512,256,0.512,266016985479172,266016985479354,182,2.3912087912087916,1.4065934065934067
390,310,1,256,0.512,256,0.512,275835616657351,275835616657533,182,2.3912087912087916,1.4065934065934067
390,320,1,256,0.512,256,0.512,261399778817032,261399778817214,182,2.3912087912087916,1.4065934065934067
390,330,1,256,0.512,256,0.512,136888591227145,136888591227327,182,2.3912087912087916,1.4065934065934067
390,340,1,256,0.512,256,0.512,279172622444548,279172622444733,185,2.352432432432433,1.3837837837837839
390,350,1,256,0.512,256,0.512,278034170936295,278034170936479,184,2.365217391304348,1.391304347826087
390,360,1,256,0.512,256,0.512,277067232704008,277067232704192,184,2.365217391304348,1.391304347826087
390,370,1,256,0.512,256,0.512,264913413858760,264913413858944,184,2.365217391304348,1.391304347826087
390,380,1,256,0.512,256,0.512,265927127398099,265927127398282,183,2.3781420765027326,1.3989071038251366
390,390,1,256,0.512,256,0.512,240771462526722,240771462526904,182,2.3912087912087916,1.4065934065934067
390,400,1,256,0.512,256,0.512,277063975172098,277063975172282,184,2.365217391304348,1.391304347826087
390,410,1,256,0.512,256,0.512,276509826415328,276509826415513,185,2.352432432432433,1.3837837837837839
390,420,1,256,0.512,256,0.512,273722468302218,273722468302400,182,2.3912087912087916,1.4065934065934067
390,430,1,256,0.512,256,0.512,272391119550470,272391119550653,183,2.3781420765027326,1.3989071038251366
390,440,1,256,0.512,256,0.512,270170521582062,270170521582245,183,2.3781420765027326,1.3989071038251366
390,450,1,256,0.512,256,0.512,264852344270848,264852344271030,182,2.3912087912087916,1.4065934065934067
400,300,1,256,0.512,256,0.512,275962385103109,275962385103291,182,2.3912087912087916,1.4065934065934067
400,310,1,256,0.512,256,0.512,279249948639239,279249948639422,183,2.3781420765027326,1.3989071038251366
400,320,1,256,0.512,256,0.512,201987982419332,201987982419514,182,2.3912087912087916,1.4065934065934067
400,330,1,256,0.512,256,0.512,271535901619594,271535901619777,183,2.3781420765027326,1.3989071038251366
400,340,1,256,0.512,256,0.512,270428164565237,270428164565420,183,2.3781420765027326,1.3989071038251366
400,350,1,256,0.512,256,0.512,270375673509375,270375673509560,185,2.352432432432433,1.3837837837837839
400,360,1,256,0.512,256,0.512,239491050175235,239491050175419,184,2.365217391304348,1.391304347826087
400,370,1,256,0.512,256,0.512,279001041331704,279001041331887,183,2.3781420765027326,1.3989071038251366
